stage,checkpoint_episode,rollout_id,step,row,col,action,reward,cumulative_reward,has_shield,event
early,50,8,9,1,1,DOWN,-1.5,-5.5,True,
early,50,8,10,2,1,UP,-1.5,-7.0,True,
early,50,8,11,1,1,DOWN,-1.5,-8.5,True,
early,50,8,12,2,1,UP,-1.5,-10.0,True,
early,50,8,13,1,1,DOWN,-1.5,-11.5,True,
early,50,8,14,2,1,UP,-1.5,-13.0,True,
early,50,8,15,1,1,DOWN,-1.5,-14.5,True,
early,50,8,16,2,1,UP,-1.5,-16.0,True,
early,50,8,17,1,1,DOWN,-1.5,-17.5,True,
early,50,8,18,2,1,UP,-1.5,-19.0,True,
early,50,8,19,1,1,DOWN,-1.5,-20.5,True,
early,50,8,20,2,1,UP,-1.5,-22.0,True,
early,50,8,21,1,1,DOWN,-1.5,-23.5,True,
early,50,8,22,2,1,UP,-1.5,-25.0,True,
early,50,8,23,1,1,DOWN,-1.5,-26.5,True,
early,50,8,24,2,1,UP,-1.5,-28.0,True,
early,50,8,25,1,1,DOWN,-1.5,-29.5,True,
early,50,8,26,2,1,UP,-1.5,-31.0,True,
early,50,8,27,1,1,DOWN,-1.5,-32.5,True,
early,50,8,28,2,1,UP,-1.5,-34.0,True,
early,50,8,29,1,1,DOWN,-1.5,-35.5,True,
early,50,8,30,2,1,UP,-1.5,-37.0,True,
early,50,8,31,1,1,DOWN,-1.5,-38.5,True,
early,50,8,32,2,1,UP,-1.5,-40.0,True,
early,50,8,33,1,1,DOWN,-1.5,-41.5,True,
early,50,8,34,2,1,UP,-1.5,-43.0,True,
early,50,8,35,1,1,DOWN,-1.5,-44.5,True,
early,50,8,36,2,1,UP,-1.5,-46.0,True,
early,50,8,37,1,1,DOWN,-1.5,-47.5,True,
early,50,8,38,2,1,UP,-1.5,-49.0,True,
early,50,8,39,1,1,DOWN,-1.5,-50.5,True,
early,50,8,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,9,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,9,2,2,1,UP,-0.5,4.0,True,
early,50,9,3,1,1,DOWN,-0.5,3.5,True,
early,50,9,4,2,1,UP,-1.5,2.0,True,
early,50,9,5,1,1,DOWN,-1.5,0.5,True,
early,50,9,6,2,1,UP,-1.5,-1.0,True,
early,50,9,7,1,1,DOWN,-1.5,-2.5,True,
early,50,9,8,2,1,UP,-1.5,-4.0,True,
early,50,9,9,1,1,DOWN,-1.5,-5.5,True,
early,50,9,10,2,1,UP,-1.5,-7.0,True,
early,50,9,11,1,1,DOWN,-1.5,-8.5,True,
early,50,9,12,2,1,UP,-1.5,-10.0,True,
early,50,9,13,1,1,DOWN,-1.5,-11.5,True,
early,50,9,14,2,1,UP,-1.5,-13.0,True,
early,50,9,15,1,1,DOWN,-1.5,-14.5,True,
early,50,9,16,2,1,UP,-1.5,-16.0,True,
early,50,9,17,1,1,DOWN,-1.5,-17.5,True,
early,50,9,18,2,1,UP,-1.5,-19.0,True,
early,50,9,19,1,1,DOWN,-1.5,-20.5,True,
early,50,9,20,2,1,UP,-1.5,-22.0,True,
early,50,9,21,1,1,DOWN,-1.5,-23.5,True,
early,50,9,22,2,1,UP,-1.5,-25.0,True,
early,50,9,23,1,1,DOWN,-1.5,-26.5,True,
early,50,9,24,2,1,UP,-1.5,-28.0,True,
early,50,9,25,1,1,DOWN,-1.5,-29.5,True,
early,50,9,26,2,1,UP,-1.5,-31.0,True,
early,50,9,27,1,1,DOWN,-1.5,-32.5,True,
early,50,9,28,2,1,UP,-1.5,-34.0,True,
early,50,9,29,1,1,DOWN,-1.5,-35.5,True,
early,50,9,30,2,1,UP,-1.5,-37.0,True,
early,50,9,31,1,1,DOWN,-1.5,-38.5,True,
early,50,9,32,2,1,UP,-1.5,-40.0,True,
early,50,9,33,1,1,DOWN,-1.5,-41.5,True,
early,50,9,34,2,1,UP,-1.5,-43.0,True,
early,50,9,35,1,1,DOWN,-1.5,-44.5,True,
early,50,9,36,2,1,UP,-1.5,-46.0,True,
early,50,9,37,1,1,DOWN,-1.5,-47.5,True,
early,50,9,38,2,1,UP,-1.5,-49.0,True,
early,50,9,39,1,1,DOWN,-1.5,-50.5,True,
early,50,9,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,10,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,10,2,2,1,UP,-0.5,4.0,True,
early,50,10,3,1,1,DOWN,-0.5,3.5,True,
early,50,10,4,2,1,UP,-1.5,2.0,True,
early,50,10,5,1,1,DOWN,-1.5,0.5,True,
early,50,10,6,2,1,UP,-1.5,-1.0,True,
early,50,10,7,1,1,DOWN,-1.5,-2.5,True,
early,50,10,8,2,1,UP,-1.5,-4.0,True,
early,50,10,9,1,1,DOWN,-1.5,-5.5,True,
early,50,10,10,2,1,UP,-1.5,-7.0,True,
early,50,10,11,1,1,DOWN,-1.5,-8.5,True,
early,50,10,12,2,1,UP,-1.5,-10.0,True,
early,50,10,13,1,1,DOWN,-1.5,-11.5,True,
early,50,10,14,2,1,UP,-1.5,-13.0,True,
early,50,10,15,1,1,DOWN,-1.5,-14.5,True,
early,50,10,16,2,1,UP,-1.5,-16.0,True,
early,50,10,17,1,1,DOWN,-1.5,-17.5,True,
early,50,10,18,2,1,UP,-1.5,-19.0,True,
early,50,10,19,1,1,DOWN,-1.5,-20.5,True,
early,50,10,20,2,1,UP,-1.5,-22.0,True,
early,50,10,21,1,1,DOWN,-1.5,-23.5,True,
early,50,10,22,2,1,UP,-1.5,-25.0,True,
early,50,10,23,1,1,DOWN,-1.5,-26.5,True,
early,50,10,24,2,1,UP,-1.5,-28.0,True,
early,50,10,25,1,1,DOWN,-1.5,-29.5,True,
early,50,10,26,2,1,UP,-1.5,-31.0,True,
early,50,10,27,1,1,DOWN,-1.5,-32.5,True,
early,50,10,28,2,1,UP,-1.5,-34.0,True,
early,50,10,29,1,1,DOWN,-1.5,-35.5,True,
early,50,10,30,2,1,UP,-1.5,-37.0,True,
early,50,10,31,1,1,DOWN,-1.5,-38.5,True,
early,50,10,32,2,1,UP,-1.5,-40.0,True,
early,50,10,33,1,1,DOWN,-1.5,-41.5,True,
early,50,10,34,2,1,UP,-1.5,-43.0,True,
early,50,10,35,1,1,DOWN,-1.5,-44.5,True,
early,50,10,36,2,1,UP,-1.5,-46.0,True,
early,50,10,37,1,1,DOWN,-1.5,-47.5,True,
early,50,10,38,2,1,UP,-1.5,-49.0,True,
early,50,10,39,1,1,DOWN,-1.5,-50.5,True,
early,50,10,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,11,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,11,2,2,1,UP,-0.5,4.0,True,
early,50,11,3,1,1,DOWN,-0.5,3.5,True,
early,50,11,4,2,1,UP,-1.5,2.0,True,
early,50,11,5,1,1,DOWN,-1.5,0.5,True,
early,50,11,6,2,1,UP,-1.5,-1.0,True,
early,50,11,7,1,1,DOWN,-1.5,-2.5,True,
early,50,11,8,2,1,UP,-1.5,-4.0,True,
early,50,11,9,1,1,DOWN,-1.5,-5.5,True,
early,50,11,10,2,1,UP,-1.5,-7.0,True,
early,50,11,11,1,1,DOWN,-1.5,-8.5,True,
early,50,11,12,2,1,UP,-1.5,-10.0,True,
early,50,11,13,1,1,DOWN,-1.5,-11.5,True,
early,50,11,14,2,1,UP,-1.5,-13.0,True,
early,50,11,15,1,1,DOWN,-1.5,-14.5,True,
early,50,11,16,2,1,UP,-1.5,-16.0,True,
early,50,11,17,1,1,DOWN,-1.5,-17.5,True,
early,50,11,18,2,1,UP,-1.5,-19.0,True,
early,50,11,19,1,1,DOWN,-1.5,-20.5,True,
early,50,11,20,2,1,UP,-1.5,-22.0,True,
early,50,11,21,1,1,DOWN,-1.5,-23.5,True,
early,50,11,22,2,1,UP,-1.5,-25.0,True,
early,50,11,23,1,1,DOWN,-1.5,-26.5,True,
early,50,11,24,2,1,UP,-1.5,-28.0,True,
early,50,11,25,1,1,DOWN,-1.5,-29.5,True,
early,50,11,26,2,1,UP,-1.5,-31.0,True,
early,50,11,27,1,1,DOWN,-1.5,-32.5,True,
early,50,11,28,2,1,UP,-1.5,-34.0,True,
early,50,11,29,1,1,DOWN,-1.5,-35.5,True,
early,50,11,30,2,1,UP,-1.5,-37.0,True,
early,50,11,31,1,1,DOWN,-1.5,-38.5,True,
early,50,11,32,2,1,UP,-1.5,-40.0,True,
early,50,11,33,1,1,DOWN,-1.5,-41.5,True,
early,50,11,34,2,1,UP,-1.5,-43.0,True,
