episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
116,70,4.0000,1,-1,0,-1,10,68,shield_route,0,2.916965,-0.024799,-0.426461,0.000000,0.000000,0.106553,0,0.000000,0.8529,0.0000,0.4700
117,56,-14.6000,1,-1,0,-1,22,50,shield_route,0,3.048228,0.026215,-0.393354,0.000000,0.000000,0.040902,0,0.000000,0.8516,0.0000,0.4700
118,100,-19.0000,0,-1,0,-1,18,40,timeout,0,2.895495,-0.034593,-0.402725,0.000000,0.000000,0.066718,0,0.000000,0.8503,0.0000,0.4600
119,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.697755,-0.013787,-0.438692,0.000000,0.000000,0.062622,0,0.000000,0.8491,0.0000,0.4500
120,100,-8.0000,0,-1,0,-1,28,-1,timeout,0,3.119695,-0.011596,-0.467997,0.000000,0.000000,0.028788,0,0.000000,0.8478,0.0000,0.4400
121,100,-8.0000,0,-1,0,-1,20,-1,timeout,0,2.610887,-0.022042,-0.451934,0.000000,0.000000,0.050442,0,0.000000,0.8465,0.0000,0.4300
122,16,-21.6000,1,-1,0,-1,-1,8,trap_rush,0,2.036506,0.084505,-0.470729,0.000000,0.000000,0.106611,0,0.000000,0.8453,0.0000,0.4400
123,88,-27.8000,1,-1,0,-1,4,80,shield_route,0,2.782415,0.004941,-0.402410,0.000000,0.000000,0.063145,0,0.000000,0.8440,0.0000,0.4400
124,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,2.857820,-0.019829,-0.404444,0.000000,0.000000,0.040672,0,0.000000,0.8427,0.0000,0.4400
125,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,2.698955,0.018791,-0.375517,0.000000,0.000000,0.051129,0,0.000000,0.8415,0.0000,0.4300
126,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,3.006117,-0.021910,-0.410761,0.000000,0.000000,0.067586,0,0.000000,0.8402,0.0000,0.4300
127,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.898448,-0.045694,-0.420462,0.000000,0.000000,0.058462,0,0.000000,0.8389,0.0000,0.4200
128,100,-49.0000,0,-1,0,-1,12,68,timeout,0,2.739747,-0.022056,-0.394976,0.000000,0.000000,0.032112,0,0.000000,0.8377,0.0000,0.4100
129,100,-38.0000,0,-1,0,-1,44,32,timeout,0,2.828783,0.033996,-0.447375,0.000000,0.000000,0.064861,0,0.000000,0.8364,0.0000,0.4000
130,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,1.773782,0.081073,-0.363100,0.000000,0.000000,0.102903,0,0.000000,0.8351,0.0000,0.4100
131,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,2.725542,-0.030981,-0.407637,0.000000,0.000000,0.043765,0,0.000000,0.8338,0.0000,0.4100
132,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,2.587449,-0.020855,-0.424337,0.000000,0.000000,0.004552,0,0.000000,0.8326,0.0000,0.4100
133,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,2.563243,-0.013504,-0.425176,0.000000,0.000000,0.064976,0,0.000000,0.8313,0.0000,0.4100
134,100,-19.0000,0,-1,0,-1,6,88,timeout,0,2.511768,-0.028792,-0.464089,0.000000,0.000000,0.086673,0,0.000000,0.8300,0.0000,0.4100
135,14,-1.4000,1,-1,0,-1,-1,12,trap_rush,0,3.054046,0.141932,-0.464146,0.000000,0.000000,0.105203,0,0.000000,0.8288,0.0000,0.4100
136,100,-28.0000,0,-1,0,-1,26,8,timeout,0,2.522966,-0.005564,-0.416152,0.000000,0.000000,0.005965,0,0.000000,0.8275,0.0000,0.4100
137,100,-8.0000,0,-1,0,-1,18,-1,timeout,0,2.721021,-0.008539,-0.442429,0.000000,0.000000,0.042586,0,0.000000,0.8262,0.0000,0.4000
138,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,2.697938,-0.013733,-0.444835,0.000000,0.000000,0.036012,0,0.000000,0.8250,0.0000,0.4000
139,100,-8.0000,0,-1,0,-1,16,-1,timeout,0,3.140789,-0.014756,-0.436610,0.000000,0.000000,0.015253,0,0.000000,0.8237,0.0000,0.3900
140,38,-12.8000,1,-1,0,-1,6,32,shield_route,0,2.773529,-0.029999,-0.452262,0.000000,0.000000,-0.014767,0,0.000000,0.8224,0.0000,0.3900
141,12,-21.2000,1,-1,0,-1,-1,4,trap_rush,0,3.281195,0.022146,-0.524275,0.000000,0.000000,0.016352,0,0.000000,0.8212,0.0000,0.4000
142,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,2.449381,0.011610,-0.472907,0.000000,0.000000,-0.049415,0,0.000000,0.8199,0.0000,0.4000
143,86,-7.6000,1,-1,0,-1,4,82,shield_route,0,2.455634,0.003750,-0.478381,0.000000,0.000000,0.069690,0,0.000000,0.8186,0.0000,0.4100
144,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,2.686604,0.005126,-0.479560,0.000000,0.000000,0.049984,0,0.000000,0.8174,0.0000,0.4000
145,8,-0.8000,1,-1,0,-1,-1,6,trap_rush,0,1.562415,-0.049003,-0.427493,0.000000,0.000000,0.095065,0,0.000000,0.8161,0.0000,0.4000
146,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.450710,-0.030354,-0.466661,0.000000,0.000000,0.000397,0,0.000000,0.8148,0.0000,0.3900
